CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CD_CURSO_PPG,CD_CONCEITO_CURSO
12008010005P4,2017,46,1,5.0
12008010005P4,2018,46,1,5.0
12008010005P4,2019,46,1,5.0
12008010006P0,2013,41,1,3.0
12008010006P0,2014,41,1,3.0
12008010006P0,2015,41,1,3.0
12008010006P0,2016,41,1,3.0
12008010007P7,2013,45,1,3.0
12008010007P7,2014,45,1,3.0
12008010007P7,2015,45,1,3.0
12008010007P7,2016,45,1,3.0
12008010007P7,2017,45,1,3.0
12008010007P7,2018,45,1,3.0
12008010007P7,2019,45,1,3.0
12008010008P3,2013,16,1,3.0
12008010008P3,2014,16,1,3.0
12008010008P3,2015,16,1,3.0
12008010008P3,2016,16,1,3.0
12008010008P3,2017,16,1,3.0
12008010008P3,2018,16,1,3.0
12008010008P3,2019,16,1,3.0
12008010039P6,2015,41,1,3.0
12008010039P6,2016,41,1,3.0
12008010039P6,2017,41,1,3.0
12008010039P6,2018,41,1,3.0
12008010039P6,2019,41,1,3.0
12008010070P0,2016,45,1,3.0
12008010070P0,2017,45,1,3.0
12008010070P0,2018,45,1,3.0
12008010070P0,2019,45,1,3.0
12008010071P7,2017,15,1,3.0
12008010071P7,2018,15,1,3.0
12008010071P7,2019,15,1,3.0
13001019001P3,2013,49,1,4.0
13001019001P3,2014,49,2,4.0
13001019001P3,2015,49,2,4.0
13001019001P3,2016,49,2,4.0
13001019001P3,2017,49,2,4.0
13001019001P3,2018,49,2,4.0
13001019001P3,2019,49,2,4.0
13001019002P0,2013,3,1,3.0
13001019002P0,2014,3,1,3.0
13001019002P0,2015,3,1,3.0
13001019002P0,2016,3,1,3.0
13001019002P0,2018,3,1,2.0
13001019003P6,2013,4,1,3.0
13001019003P6,2014,4,1,3.0
13001019003P6,2015,4,1,3.0
13001019003P6,2016,4,1,3.0
13001019003P6,2017,4,1,2.0
13001019003P6,2018,4,1,2.0
13001019004P2,2013,42,2,4.0
13001019004P2,2014,42,2,4.0
13001019004P2,2015,42,2,4.0
13001019004P2,2016,42,2,4.0
13001019004P2,2017,42,2,4.0
13001019004P2,2018,42,2,4.0
13001019004P2,2019,42,2,4.0
13001019005P9,2013,41,1,3.0
13001019005P9,2014,41,1,3.0
13001019005P9,2016,41,1,3.0
13001019005P9,2017,41,1,3.0
13001019005P9,2018,41,1,3.0
13001019005P9,2019,41,1,3.0
13001019006P5,2013,36,1,3.0
13001019006P5,2014,36,1,3.0
13001019006P5,2015,36,1,3.0
13001019006P5,2016,36,1,3.0
13001019006P5,2017,36,1,3.0
13001019006P5,2018,36,1,3.0
13001019006P5,2019,36,1,3.0
13001019007P1,2013,45,1,3.0
13001019007P1,2014,45,1,3.0
13001019007P1,2015,45,1,3.0
13001019007P1,2016,45,1,3.0
13001019007P1,2017,45,1,3.0
13001019007P1,2018,45,1,3.0
13001019007P1,2019,45,1,3.0
13001019008P8,2013,45,1,3.0
13001019008P8,2014,45,1,3.0
13001019008P8,2015,45,1,3.0
13001019008P8,2016,45,1,3.0
13001019008P8,2017,45,1,3.0
13001019008P8,2018,45,1,3.0
13001019008P8,2019,45,1,3.0
13001019009P4,2013,30,1,3.0
13001019009P4,2014,30,1,3.0
13001019009P4,2015,30,1,3.0
13001019009P4,2016,30,1,3.0
13001019039P0,2016,35,1,3.0
13001019039P0,2017,35,1,3.0
13001019039P0,2018,35,1,3.0
13001019039P0,2019,35,1,3.0
13003011001P6,2013,46,1,3.0
13003011001P6,2014,46,1,3.0
13003011001P6,2015,46,1,3.0
13003011001P6,2016,46,1,3.0
13003011001P6,2017,46,1,4.0
13003011001P6,2018,46,1,4.0
13003011001P6,2019,46,1,4.0
13003011002P2,2014,49,1,3.0
13003011002P2,2015,49,1,3.0
13003011002P2,2016,49,1,3.0
13003011002P2,2017,49,1,3.0
13003011002P2,2018,49,1,3.0
13003011002P2,2019,49,1,3.0
13003011003P9,2014,38,1,3.0
13003011003P9,2015,38,1,3.0
13003011003P9,2016,38,1,3.0
13003011003P9,2017,38,1,3.0
13003011003P9,2018,38,1,3.0
13003011003P9,2019,38,1,3.0
13003011004P5,2016,45,1,3.0
13003011004P5,2017,45,1,3.0
13003011004P5,2018,45,1,3.0
13003011004P5,2019,45,1,3.0
13009001040P4,2015,22,1,3.0
13009001040P4,2016,22,1,3.0
13009001040P4,2017,22,1,3.0
13009001040P4,2018,22,1,3.0
13009001040P4,2019,22,1,3.0
13009001041P0,2017,9,1,3.0
13009001041P0,2018,9,1,3.0
13009001041P0,2019,9,1,3.0
13012002001P6,2016,29,1,3.0
13012002001P6,2017,29,1,3.0
13012002001P6,2018,29,1,3.0
13012002001P6,2019,29,1,3.0
14001012001P6,2013,30,1,3.0
14001012001P6,2014,30,1,3.0
14001012001P6,2015,30,1,3.0
14001012001P6,2016,30,1,3.0
14001012001P6,2017,30,1,3.0
14001012001P6,2018,30,1,3.0
14001012001P6,2019,30,1,3.0
14001012002P2,2013,45,1,2.0
14001012003P9,2013,7,2,4.0
14001012003P9,2014,7,2,4.0
14001012003P9,2015,7,2,4.0
14001012003P9,2016,7,2,4.0
14001012003P9,2017,7,2,4.0
14001012003P9,2018,7,2,4.0
14001012003P9,2019,7,2,4.0
14001012004P5,2013,45,1,3.0
14001012004P5,2014,45,1,3.0
14001012004P5,2015,45,1,3.0
14001012004P5,2016,45,1,3.0
14001012004P5,2017,45,1,3.0
14001012004P5,2018,45,1,3.0
14001012004P5,2019,45,1,3.0
14001012005P1,2013,19,1,3.0
14001012005P1,2014,19,1,3.0
14001012005P1,2015,19,1,3.0
14001012005P1,2016,19,1,3.0
14001012005P1,2017,19,1,3.0
14001012005P1,2018,19,1,3.0
14001012005P1,2019,19,1,3.0
14001012156P0,2017,39,1,3.0
14001012156P0,2018,39,1,3.0
14001012156P0,2019,39,1,3.0
14001012157P6,2017,38,1,3.0
14001012157P6,2018,38,1,3.0
14001012157P6,2019,38,1,3.0
14001012158P2,2017,49,1,3.0
14001012158P2,2018,49,1,3.0
14001012158P2,2019,49,1,3.0
15001016002P5,2013,45,2,5.0
15001016002P5,2014,45,2,5.0
15001016002P5,2015,45,2,5.0
15001016002P5,2016,45,2,5.0
15001016002P5,2017,45,2,6.0
15001016002P5,2018,45,2,6.0
15001016002P5,2019,45,2,6.0
15001016003P1,2013,26,2,4.0
15001016003P1,2014,26,2,4.0
15001016003P1,2015,26,2,4.0
15001016003P1,2016,26,2,4.0
15001016003P1,2017,26,2,4.0
15001016003P1,2018,26,2,4.0
15001016003P1,2019,26,2,4.0
15001016004P8,2013,14,2,5.0
15001016004P8,2014,14,2,5.0
15001016004P8,2015,14,2,5.0
15001016004P8,2016,14,2,5.0
15001016004P8,2017,14,2,5.0
15001016004P8,2018,14,2,5.0
15001016004P8,2019,14,2,5.0
15001016007P7,2013,4,2,4.0
15001016007P7,2014,4,2,4.0
15001016007P7,2015,4,2,4.0
15001016007P7,2016,4,2,4.0
15001016007P7,2017,4,2,4.0
15001016007P7,2018,4,2,4.0
15001016007P7,2019,4,2,4.0
15001016008P3,2013,41,2,4.0
15001016008P3,2014,41,2,4.0
15001016008P3,2015,41,2,4.0
15001016008P3,2016,41,2,4.0
15001016008P3,2017,41,2,5.0
15001016008P3,2018,41,2,5.0
15001016008P3,2019,41,2,5.0
15001016009P0,2013,37,2,5.0
15001016009P0,2014,37,2,5.0
15001016009P0,2015,37,2,5.0
15001016009P0,2016,37,2,5.0
15001016009P0,2017,37,2,5.0
15001016009P0,2018,37,2,5.0
15001016009P0,2019,37,2,5.0
15001016010P8,2013,12,1,3.0
15001016010P8,2014,12,1,3.0
15001016010P8,2015,12,1,3.0
15001016010P8,2016,12,1,3.0
15001016010P8,2017,12,1,3.0
15001016010P8,2018,12,1,3.0
15001016010P8,2019,12,1,3.0
15001016015P0,2013,16,2,4.0
15001016015P0,2014,16,2,4.0
15001016015P0,2015,16,2,4.0
15001016015P0,2016,16,2,4.0
15001016015P0,2017,16,2,5.0
15001016015P0,2018,16,2,5.0
15001016015P0,2019,16,2,5.0
15001016016P6,2013,5,2,4.0
