CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CONCEITO_PROGRAMA,Total_docentes,Mulheres,Homens,Brasileiros,Estrangeiros,QTDE_Regime_Parcial,QTDE_Regime_Integral,QTDE_Regime_Exclusivo,QTDE_Prof_Doutor,QTDE_Prof_NaoDoutor,QTDE_titulados_Brasil,QTDE_titulados_Exterior,Profs_Colaboradores,Profs_ServidoresPublicos,Profs_VinculoCLT,Profs_Aposentados,Profs_BolsaDeFixacao,Total_cursos,MEDIA_CONCEITO_CURSO
12001015002P7,2018,4,4,30,11,19,29,1,0,19,11,30,0,30,0,0,24,5,0,1,2,4.0
12001015002P7,2019,4,4,35,12,23,33,2,1,23,11,35,0,35,0,1,28,5,0,1,2,4.0
12001015003P3,2013,42,4,19,4,15,19,0,1,17,1,19,0,17,2,1,18,0,0,0,2,4.0
12001015003P3,2014,42,4,19,6,13,19,0,4,14,1,19,0,17,2,4,15,0,0,0,2,4.0
12001015003P3,2015,42,4,21,8,13,21,0,4,13,4,21,0,19,2,4,17,0,0,0,2,4.0
12001015003P3,2016,42,4,21,9,12,21,0,3,13,5,21,0,19,2,3,18,0,0,0,2,4.0
12001015003P3,2017,42,4,19,8,11,19,0,2,12,5,19,0,18,1,2,17,0,0,0,2,4.0
12001015003P3,2018,42,4,18,6,12,18,0,1,12,5,18,0,16,2,1,17,0,0,0,2,4.0
12001015003P3,2019,42,4,20,8,12,20,0,3,11,6,20,0,19,1,3,17,0,0,0,2,4.0
12001015004P0,2013,25,2,11,6,5,11,0,0,0,11,9,2,11,0,0,10,1,0,0,1,2.0
12001015006P2,2013,3,3,13,3,10,12,1,0,13,0,13,0,10,3,0,13,0,0,0,2,3.5
12001015006P2,2014,3,3,14,3,11,13,1,0,13,1,14,0,12,2,0,14,0,0,0,2,3.5
12001015006P2,2015,3,3,14,3,11,13,1,0,13,1,14,0,12,2,0,14,0,0,0,2,3.5
12001015006P2,2016,3,3,12,3,9,11,1,0,10,2,12,0,11,1,0,12,0,0,0,2,3.5
12001015006P2,2017,3,4,15,4,11,12,3,0,12,3,15,0,12,3,1,14,0,0,0,2,4.0
12001015006P2,2018,3,4,13,3,10,10,3,0,12,1,13,0,9,4,1,12,0,0,0,2,4.0
12001015006P2,2019,3,4,16,4,12,12,4,0,14,2,16,0,11,5,1,15,0,0,0,2,4.0
