,AN_BASE,CD_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,Qtd_Proj,Pesquisas,Outros projetos,CD_CONCEITO_PROGRAMA,Qtd_Financiamentos,BOLSA,OUTRO AUXÍLIO FINANCEIRO,SEM AUXÍLIO
47,2013,32005016038P3,ACADÊMICO,39,34,5,3,34,22,11,1
48,2013,32006012035P0,ACADÊMICO,32,29,3,3,25,18,6,1
49,2013,32008015003P4,ACADÊMICO,71,64,7,5,48,7,33,8
50,2013,32008015011P7,ACADÊMICO,29,26,3,4,24,7,16,1
51,2013,32018010013P1,ACADÊMICO,40,34,6,3,23,4,17,2
52,2013,32053010002P5,ACADÊMICO,15,13,2,3,30,25,3,2
53,2013,33002010124P0,ACADÊMICO,118,117,1,7,136,48,85,3
54,2013,33002010198P4,ACADÊMICO,29,28,1,6,46,30,15,1
55,2013,33003017076P2,ACADÊMICO,53,41,12,4,50,4,45,1
56,2013,33007012004P7,ACADÊMICO,50,40,10,3,58,43,14,1
57,2013,33144010017P0,ACADÊMICO,43,42,1,4,62,18,43,1
58,2013,40001016040P5,ACADÊMICO,102,87,15,5,131,62,68,1
59,2013,40014010003P3,ACADÊMICO,50,47,3,4,31,7,20,4
60,2013,40014010006P2,ACADÊMICO,84,77,7,3,69,45,20,4
61,2013,40015017009P8,ACADÊMICO,61,56,5,4,27,6,20,1
62,2013,41002016009P0,PROFISSIONAL,39,26,13,4,48,20,21,7
63,2013,41002016016P6,PROFISSIONAL,45,33,12,4,21,9,11,1
64,2013,41002016020P3,ACADÊMICO,36,26,10,3,47,22,19,6
65,2013,41004019001P1,ACADÊMICO,59,55,4,4,134,56,70,8
66,2013,41004019002P8,ACADÊMICO,54,51,3,3,116,48,61,7
67,2013,41004019004P0,ACADÊMICO,23,17,6,3,74,46,26,2
68,2013,41005015007P6,PROFISSIONAL,29,18,11,3,13,3,9,1
69,2013,42001013071P3,ACADÊMICO,100,79,21,5,103,40,62,1
70,2013,42002010003P8,ACADÊMICO,72,66,6,6,38,15,22,1
71,2013,42004012020P9,ACADÊMICO,27,24,3,3,4,2,1,1
72,2013,42007011008P8,ACADÊMICO,35,34,1,4,32,4,27,1
73,2013,51005018010P5,ACADÊMICO,86,79,7,3,24,2,21,1
74,2013,52001016039P0,ACADÊMICO,35,31,4,3,81,44,33,4
75,2014,12001015018P0,ACADÊMICO,9,8,1,3,19,13,5,1
76,2014,15001016028P4,ACADÊMICO,125,102,23,4,111,25,84,2
77,2014,15001016032P1,ACADÊMICO,145,141,4,6,129,12,116,1
78,2014,15001016044P0,ACADÊMICO,138,134,4,4,94,21,71,2
79,2014,15001016051P6,ACADÊMICO,34,31,3,4,36,19,16,1
80,2014,15001016068P6,ACADÊMICO,104,100,4,4,63,4,58,1
